Hour of the day,Day of the week,Campaign type,Search top IS,Search lost IS (budget),Search lost IS (rank)
3,Friday,Video,--,--,--
3,Friday,Demand Gen,--,--,--
3,Friday,Performance Max,--,15.11%,81.46%
3,Saturday,Search,10.83%,28.15%,57.92%
3,Saturday,Shopping,--,--,--
3,Saturday,Video,--,--,--
3,Saturday,Demand Gen,--,--,--
3,Saturday,Performance Max,--,14.01%,81.74%
4,Sunday,Search,10.43%,34.68%,51.87%
4,Sunday,Shopping,--,--,--
4,Sunday,Video,--,--,--
4,Sunday,Demand Gen,--,--,--
4,Sunday,Performance Max,--,18.39%,77.94%
4,Monday,Search,< 10%,36.52%,50.61%
4,Monday,Shopping,--,--,--
4,Monday,Video,--,--,--
4,Monday,Demand Gen,--,--,--
4,Monday,Performance Max,--,15.38%,81.59%
4,Tuesday,Search,< 10%,32.07%,55.74%
4,Tuesday,Shopping,--,--,--
4,Tuesday,Video,--,--,--
4,Tuesday,Demand Gen,--,--,--
4,Tuesday,Performance Max,--,12.3%,84.09%
4,Wednesday,Search,< 10%,29.34%,58.33%
4,Wednesday,Shopping,--,--,--
4,Wednesday,Video,--,--,--
4,Wednesday,Demand Gen,--,--,--
4,Wednesday,Performance Max,--,7.38%,89.07%
4,Thursday,Search,10.56%,26.35%,59.95%
4,Thursday,Shopping,--,--,--
4,Thursday,Video,--,--,--
4,Thursday,Demand Gen,--,--,--
4,Thursday,Performance Max,--,8.87%,87.53%
4,Friday,Search,10.66%,26.79%,59.02%
4,Friday,Shopping,--,--,--
4,Friday,Video,--,--,--
4,Friday,Demand Gen,--,--,--
4,Friday,Performance Max,--,14.92%,81.44%
4,Saturday,Search,10.85%,28.58%,57%
4,Saturday,Shopping,--,--,--
4,Saturday,Video,--,--,--
4,Saturday,Demand Gen,--,--,--
4,Saturday,Performance Max,--,14.11%,81.47%
5,Sunday,Search,10.9%,35.64%,50.36%
5,Sunday,Shopping,--,--,--
5,Sunday,Video,--,--,--
5,Sunday,Demand Gen,--,--,--
5,Sunday,Performance Max,--,18.86%,77.58%
5,Monday,Search,10.27%,38.44%,47.72%
5,Monday,Shopping,--,--,--
5,Monday,Video,--,--,--
5,Monday,Demand Gen,--,--,--
5,Monday,Performance Max,--,15.56%,81.32%
5,Tuesday,Search,< 10%,31.24%,55.33%
5,Tuesday,Shopping,--,--,--
5,Tuesday,Video,--,--,--
5,Tuesday,Demand Gen,--,--,--
5,Tuesday,Performance Max,--,13.32%,83.04%
5,Wednesday,Search,< 10%,29.5%,57.2%
5,Wednesday,Shopping,--,--,--
5,Wednesday,Video,--,--,--
5,Wednesday,Demand Gen,--,--,--
5,Wednesday,Performance Max,--,6.99%,89.33%
5,Thursday,Search,10.1%,26.02%,60.22%
5,Thursday,Shopping,--,--,--
5,Thursday,Video,--,--,--
5,Thursday,Demand Gen,--,--,--
5,Thursday,Performance Max,--,8.21%,88.3%
5,Friday,Search,10.97%,30.3%,54.37%
5,Friday,Shopping,--,--,--
5,Friday,Video,--,--,--
5,Friday,Demand Gen,--,--,--
5,Friday,Performance Max,--,14.76%,81.55%
5,Saturday,Search,10.55%,28.03%,57.91%
5,Saturday,Shopping,--,--,--
5,Saturday,Video,--,--,--
5,Saturday,Demand Gen,--,--,--
5,Saturday,Performance Max,--,13.62%,82.28%
6,Sunday,Search,10.4%,35.2%,50.97%
6,Sunday,Shopping,--,--,--
6,Sunday,Video,--,--,--
6,Sunday,Demand Gen,--,--,--
6,Sunday,Performance Max,--,18.83%,77.98%
6,Monday,Search,< 10%,38%,48.29%
6,Monday,Shopping,--,--,--
6,Monday,Video,--,--,--
6,Monday,Demand Gen,--,--,--
6,Monday,Performance Max,--,16.2%,80.88%
6,Tuesday,Search,< 10%,30.82%,55.85%
6,Tuesday,Shopping,--,--,--
6,Tuesday,Video,--,--,--
6,Tuesday,Demand Gen,--,--,--
6,Tuesday,Performance Max,--,14.11%,82.57%
6,Wednesday,Search,10.18%,31.95%,54.31%
6,Wednesday,Shopping,--,--,--
6,Wednesday,Video,--,--,--
6,Wednesday,Demand Gen,--,--,--
6,Wednesday,Performance Max,--,6.83%,89.29%
6,Thursday,Search,10.01%,26.47%,60.01%
6,Thursday,Shopping,--,--,--
6,Thursday,Video,--,--,--
6,Thursday,Demand Gen,--,--,--
6,Thursday,Performance Max,--,8.07%,88.44%
6,Friday,Search,10.42%,27.46%,57.78%
6,Friday,Shopping,--,--,--
6,Friday,Video,--,--,--
6,Friday,Demand Gen,--,--,--
6,Friday,Performance Max,--,14.04%,82.38%
6,Saturday,Search,10.81%,28.81%,56.96%
6,Saturday,Shopping,--,--,--
6,Saturday,Video,--,--,--
6,Saturday,Demand Gen,--,--,--
6,Saturday,Performance Max,--,13.42%,82.38%
7,Sunday,Search,10.97%,35.63%,50.09%
7,Sunday,Shopping,--,--,--
7,Sunday,Video,--,--,--
7,Sunday,Demand Gen,--,--,--
7,Sunday,Performance Max,--,18.59%,78.12%
7,Monday,Search,< 10%,36.97%,49.22%
7,Monday,Shopping,--,--,--
7,Monday,Video,--,--,--
7,Monday,Demand Gen,--,--,--
7,Monday,Performance Max,--,16.04%,80.97%
7,Tuesday,Search,< 10%,31.07%,56.26%
7,Tuesday,Shopping,--,--,--
7,Tuesday,Video,--,--,--
7,Tuesday,Demand Gen,--,--,--
7,Tuesday,Performance Max,--,13.05%,83.8%
7,Wednesday,Search,< 10%,30.47%,56.46%
7,Wednesday,Shopping,--,--,--
7,Wednesday,Video,--,--,--
7,Wednesday,Demand Gen,--,--,--
7,Wednesday,Performance Max,--,7.03%,89.19%
