Hour of the day,Day of the week,Campaign type,Search top IS,Search lost IS (budget),Search lost IS (rank)
18,Saturday,Video,--,--,--
18,Saturday,Demand Gen,--,--,--
18,Saturday,Performance Max,--,10.78%,85.14%
19,Sunday,Search,< 10%,26.99%,60.09%
19,Sunday,Shopping,--,--,--
19,Sunday,Video,--,--,--
19,Sunday,Demand Gen,--,--,--
19,Sunday,Performance Max,--,15.03%,81.58%
19,Monday,Search,< 10%,29.73%,57.26%
19,Monday,Shopping,--,--,--
19,Monday,Video,--,--,--
19,Monday,Demand Gen,--,--,--
19,Monday,Performance Max,--,13.61%,82.09%
19,Tuesday,Search,< 10%,19.84%,67.11%
19,Tuesday,Shopping,--,--,--
19,Tuesday,Video,--,--,--
19,Tuesday,Demand Gen,--,--,--
19,Tuesday,Performance Max,--,11.47%,84.76%
19,Wednesday,Search,10.29%,17.19%,69.37%
19,Wednesday,Shopping,--,--,--
19,Wednesday,Video,--,--,--
19,Wednesday,Demand Gen,--,--,--
19,Wednesday,Performance Max,--,7.56%,88.01%
19,Thursday,Search,10.85%,18.19%,67.35%
19,Thursday,Shopping,--,--,--
19,Thursday,Video,--,--,--
19,Thursday,Demand Gen,--,--,--
19,Thursday,Performance Max,--,7.51%,88.31%
19,Friday,Search,10.92%,18.72%,66.84%
19,Friday,Shopping,--,--,--
19,Friday,Video,--,--,--
19,Friday,Demand Gen,--,--,--
19,Friday,Performance Max,--,10.26%,85.18%
19,Saturday,Search,10.18%,18.56%,68.27%
19,Saturday,Shopping,--,--,--
19,Saturday,Video,--,--,--
19,Saturday,Demand Gen,--,--,--
19,Saturday,Performance Max,--,10.55%,85.42%
20,Sunday,Search,10.19%,21.9%,64.76%
20,Sunday,Shopping,--,--,--
20,Sunday,Video,--,--,--
20,Sunday,Demand Gen,--,--,--
20,Sunday,Performance Max,--,13.19%,83.25%
20,Monday,Search,10.02%,21.5%,65.64%
20,Monday,Shopping,--,--,--
20,Monday,Video,--,--,--
20,Monday,Demand Gen,--,--,--
20,Monday,Performance Max,--,13.72%,81.82%
20,Tuesday,Search,< 10%,16.69%,71.11%
20,Tuesday,Shopping,--,--,--
20,Tuesday,Video,--,--,--
20,Tuesday,Demand Gen,--,--,--
20,Tuesday,Performance Max,--,11.37%,84.65%
20,Wednesday,Search,< 10%,14.15%,73.22%
20,Wednesday,Shopping,--,--,--
20,Wednesday,Video,--,--,--
20,Wednesday,Demand Gen,--,--,--
20,Wednesday,Performance Max,--,6.3%,88.75%
20,Thursday,Search,10.26%,16.52%,69.92%
20,Thursday,Shopping,--,--,--
20,Thursday,Video,--,--,--
20,Thursday,Demand Gen,--,--,--
20,Thursday,Performance Max,--,7.01%,88.8%
20,Friday,Search,10.47%,14.4%,72.36%
20,Friday,Shopping,--,--,--
20,Friday,Video,--,--,--
20,Friday,Demand Gen,--,--,--
20,Friday,Performance Max,--,10.8%,84.55%
20,Saturday,Search,< 10%,15.21%,71.97%
20,Saturday,Shopping,--,--,--
20,Saturday,Video,--,--,--
20,Saturday,Demand Gen,--,--,--
20,Saturday,Performance Max,--,9.77%,86.13%
21,Sunday,Search,< 10%,17.02%,69.78%
21,Sunday,Shopping,--,--,--
21,Sunday,Video,--,--,--
21,Sunday,Demand Gen,--,--,--
21,Sunday,Performance Max,--,11.75%,84.73%
21,Monday,Search,< 10%,16.22%,72.72%
21,Monday,Shopping,--,--,--
21,Monday,Video,--,--,--
21,Monday,Demand Gen,--,--,--
21,Monday,Performance Max,--,13.41%,82.32%
21,Tuesday,Search,< 10%,13.71%,74.83%
21,Tuesday,Shopping,--,--,--
21,Tuesday,Video,--,--,--
21,Tuesday,Demand Gen,--,--,--
21,Tuesday,Performance Max,--,11.07%,84.99%
21,Wednesday,Search,< 10%,10.35%,77.28%
21,Wednesday,Shopping,--,--,--
21,Wednesday,Video,--,--,--
21,Wednesday,Demand Gen,--,--,--
21,Wednesday,Performance Max,--,4.81%,> 90%
21,Thursday,Search,< 10%,11.57%,75.64%
21,Thursday,Shopping,--,--,--
21,Thursday,Video,--,--,--
21,Thursday,Demand Gen,--,--,--
21,Thursday,Performance Max,--,6.33%,89.46%
21,Friday,Search,< 10%,8.76%,78.51%
21,Friday,Shopping,--,--,--
21,Friday,Video,--,--,--
21,Friday,Demand Gen,--,--,--
21,Friday,Performance Max,--,10.73%,84.71%
21,Saturday,Search,< 10%,12.1%,75.3%
21,Saturday,Shopping,--,--,--
21,Saturday,Video,--,--,--
21,Saturday,Demand Gen,--,--,--
21,Saturday,Performance Max,--,7.99%,87.94%
22,Sunday,Search,< 10%,12.66%,74.96%
22,Sunday,Shopping,--,--,--
22,Sunday,Video,--,--,--
22,Sunday,Demand Gen,--,--,--
22,Sunday,Performance Max,--,12.7%,83.95%
22,Monday,Search,< 10%,7.58%,81.92%
22,Monday,Shopping,--,--,--
22,Monday,Video,--,--,--
22,Monday,Demand Gen,--,--,--
22,Monday,Performance Max,--,10.64%,85.05%
22,Tuesday,Search,< 10%,7.59%,81.12%
22,Tuesday,Shopping,--,--,--
22,Tuesday,Video,--,--,--
22,Tuesday,Demand Gen,--,--,--
22,Tuesday,Performance Max,--,10.86%,85.2%
22,Wednesday,Search,< 10%,6.99%,81.51%
22,Wednesday,Shopping,--,--,--
22,Wednesday,Video,--,--,--
22,Wednesday,Demand Gen,--,--,--
22,Wednesday,Performance Max,--,3.76%,> 90%
22,Thursday,Search,< 10%,5.62%,82.19%
22,Thursday,Shopping,--,--,--
22,Thursday,Video,--,--,--
22,Thursday,Demand Gen,--,--,--
22,Thursday,Performance Max,--,6.1%,89.68%
22,Friday,Search,< 10%,4.75%,83.16%
22,Friday,Shopping,--,--,--
22,Friday,Video,--,--,--
22,Friday,Demand Gen,--,--,--
22,Friday,Performance Max,--,7.57%,88.25%
22,Saturday,Search,< 10%,9.52%,77.64%
22,Saturday,Shopping,--,--,--
22,Saturday,Video,--,--,--
22,Saturday,Demand Gen,--,--,--
22,Saturday,Performance Max,--,8.41%,87.32%
23,Sunday,Search,< 10%,9.08%,79.38%
23,Sunday,Shopping,--,--,--
23,Sunday,Video,--,--,--
23,Sunday,Demand Gen,--,--,--
23,Sunday,Performance Max,--,12.5%,84.4%
23,Monday,Search,< 10%,4.56%,84.6%
23,Monday,Shopping,--,--,--
23,Monday,Video,--,--,--
23,Monday,Demand Gen,--,--,--
23,Monday,Performance Max,--,8.72%,87.32%
23,Tuesday,Search,< 10%,4.83%,84.56%
23,Tuesday,Shopping,--,--,--
23,Tuesday,Video,--,--,--
23,Tuesday,Demand Gen,--,--,--
23,Tuesday,Performance Max,--,11.19%,85.07%
23,Wednesday,Search,< 10%,4.13%,84.54%
23,Wednesday,Shopping,--,--,--
23,Wednesday,Video,--,--,--
23,Wednesday,Demand Gen,--,--,--
23,Wednesday,Performance Max,--,3.49%,> 90%
23,Thursday,Search,< 10%,2.84%,86.19%
23,Thursday,Shopping,--,--,--
23,Thursday,Video,--,--,--
23,Thursday,Demand Gen,--,--,--
23,Thursday,Performance Max,--,6.55%,89.33%
23,Friday,Search,< 10%,4.3%,84.58%
23,Friday,Shopping,--,--,--
23,Friday,Video,--,--,--
23,Friday,Demand Gen,--,--,--
23,Friday,Performance Max,--,8.62%,87.29%
23,Saturday,Search,< 10%,5.52%,82.66%
23,Saturday,Shopping,--,--,--
23,Saturday,Video,--,--,--
23,Saturday,Demand Gen,--,--,--
23,Saturday,Performance Max,--,8.77%,86.84%
