Month,Hour of the day,Day of the week,Campaign type,Search top IS,Search lost IS (budget),Search lost IS (rank)
January 2024,4,Friday,Search,11.38%,10.81%,73.72%
January 2024,4,Friday,Shopping,--,--,--
January 2024,4,Friday,Performance Max,--,5.25%,84.75%
January 2024,4,Saturday,Search,< 10%,44.34%,44.84%
January 2024,4,Saturday,Shopping,--,--,--
January 2024,4,Saturday,Performance Max,--,20.31%,69.16%
January 2024,5,Sunday,Search,10.45%,33.16%,52.31%
January 2024,5,Sunday,Shopping,--,--,--
January 2024,5,Sunday,Performance Max,--,27.54%,61.42%
January 2024,5,Monday,Search,10.13%,15.16%,70.23%
January 2024,5,Monday,Shopping,--,--,--
January 2024,5,Monday,Performance Max,--,8.81%,80.09%
January 2024,5,Tuesday,Search,11.38%,17.41%,66.35%
January 2024,5,Tuesday,Shopping,--,--,--
January 2024,5,Tuesday,Performance Max,--,2.3%,86.55%
January 2024,5,Wednesday,Search,< 10%,0.57%,84.43%
January 2024,5,Wednesday,Shopping,--,--,--
January 2024,5,Wednesday,Performance Max,--,24.91%,65.23%
January 2024,5,Thursday,Search,< 10%,5.88%,79.96%
January 2024,5,Thursday,Shopping,--,--,--
January 2024,5,Thursday,Performance Max,--,23.84%,67.86%
January 2024,5,Friday,Search,11.08%,9.37%,74.69%
January 2024,5,Friday,Shopping,--,--,--
January 2024,5,Friday,Performance Max,--,5.33%,85.2%
January 2024,5,Saturday,Search,< 10%,39.64%,47.65%
January 2024,5,Saturday,Shopping,--,--,--
January 2024,5,Saturday,Performance Max,--,25.2%,63.94%
January 2024,6,Sunday,Search,< 10%,32.73%,53.94%
January 2024,6,Sunday,Shopping,--,--,--
January 2024,6,Sunday,Performance Max,--,19.23%,70.34%
January 2024,6,Monday,Search,10.59%,16.24%,66.98%
January 2024,6,Monday,Shopping,--,--,--
January 2024,6,Monday,Performance Max,--,9.16%,80.61%
January 2024,6,Tuesday,Search,10.26%,15.96%,66.82%
January 2024,6,Tuesday,Shopping,--,--,--
January 2024,6,Tuesday,Performance Max,--,2.73%,87.7%
January 2024,6,Wednesday,Search,10.48%,0.47%,82.52%
January 2024,6,Wednesday,Shopping,--,--,--
January 2024,6,Wednesday,Performance Max,--,23.16%,68.27%
January 2024,6,Thursday,Search,< 10%,3.63%,82.7%
January 2024,6,Thursday,Shopping,--,--,--
January 2024,6,Thursday,Performance Max,--,20.31%,71.61%
January 2024,6,Friday,Search,10.29%,6.26%,80.01%
January 2024,6,Friday,Shopping,--,--,--
January 2024,6,Friday,Performance Max,--,5.21%,86.03%
January 2024,6,Saturday,Search,< 10%,34%,52.96%
January 2024,6,Saturday,Shopping,--,--,--
January 2024,6,Saturday,Performance Max,--,28.4%,62.85%
January 2024,7,Sunday,Search,< 10%,33.91%,54.32%
January 2024,7,Sunday,Shopping,--,--,--
January 2024,7,Sunday,Performance Max,--,18.75%,71%
January 2024,7,Monday,Search,< 10%,21.34%,65.17%
January 2024,7,Monday,Shopping,--,--,--
January 2024,7,Monday,Performance Max,--,10.29%,81.34%
January 2024,7,Tuesday,Search,11.09%,12.76%,69.84%
January 2024,7,Tuesday,Shopping,--,--,--
January 2024,7,Tuesday,Performance Max,--,2.32%,> 90%
January 2024,7,Wednesday,Search,< 10%,0.69%,84.43%
January 2024,7,Wednesday,Shopping,--,--,--
January 2024,7,Wednesday,Performance Max,--,22%,70.17%
January 2024,7,Thursday,Search,< 10%,5.06%,81.45%
January 2024,7,Thursday,Shopping,--,--,--
January 2024,7,Thursday,Performance Max,--,20.74%,72.03%
January 2024,7,Friday,Search,< 10%,9.75%,77.08%
January 2024,7,Friday,Shopping,--,--,--
January 2024,7,Friday,Performance Max,--,5.55%,87.86%
January 2024,7,Saturday,Search,< 10%,32.82%,53.98%
January 2024,7,Saturday,Shopping,--,--,--
January 2024,7,Saturday,Performance Max,--,28.41%,62.5%
January 2024,8,Sunday,Search,< 10%,32.73%,55.36%
January 2024,8,Sunday,Shopping,--,--,--
January 2024,8,Sunday,Performance Max,--,19.88%,71.88%
January 2024,8,Monday,Search,< 10%,21.6%,65.41%
January 2024,8,Monday,Shopping,--,--,--
January 2024,8,Monday,Performance Max,--,11.22%,82.05%
January 2024,8,Tuesday,Search,< 10%,13.08%,71.83%
January 2024,8,Tuesday,Shopping,--,--,--
January 2024,8,Tuesday,Performance Max,--,2.09%,> 90%
January 2024,8,Wednesday,Search,< 10%,0.92%,84.55%
January 2024,8,Wednesday,Shopping,--,--,--
January 2024,8,Wednesday,Performance Max,--,19.76%,73.78%
January 2024,8,Thursday,Search,< 10%,4.09%,84.17%
January 2024,8,Thursday,Shopping,--,--,--
January 2024,8,Thursday,Performance Max,--,23.57%,71.5%
January 2024,8,Friday,Search,< 10%,10.72%,76.39%
January 2024,8,Friday,Shopping,--,--,--
January 2024,8,Friday,Performance Max,--,5.4%,88.68%
January 2024,8,Saturday,Search,< 10%,34.66%,52.27%
January 2024,8,Saturday,Shopping,--,--,--
January 2024,8,Saturday,Performance Max,--,25.81%,66.71%
January 2024,9,Sunday,Search,< 10%,33.19%,55.95%
January 2024,9,Sunday,Shopping,--,--,--
January 2024,9,Sunday,Performance Max,--,28.63%,64.61%
January 2024,9,Monday,Search,< 10%,22.31%,66.26%
January 2024,9,Monday,Shopping,--,--,--
January 2024,9,Monday,Performance Max,--,10.99%,83.53%
January 2024,9,Tuesday,Search,< 10%,13.69%,70.62%
January 2024,9,Tuesday,Shopping,--,--,--
January 2024,9,Tuesday,Performance Max,--,2.02%,> 90%
January 2024,9,Wednesday,Search,< 10%,1.01%,86.04%
January 2024,9,Wednesday,Shopping,--,--,--
January 2024,9,Wednesday,Performance Max,--,14.04%,80%
January 2024,9,Thursday,Search,< 10%,7.51%,79.52%
January 2024,9,Thursday,Shopping,--,--,--
January 2024,9,Thursday,Performance Max,--,22.48%,72.94%
January 2024,9,Friday,Search,< 10%,12.5%,75.1%
January 2024,9,Friday,Shopping,--,--,--
January 2024,9,Friday,Performance Max,--,5.02%,88.75%
January 2024,9,Saturday,Search,< 10%,35.68%,52.38%
January 2024,9,Saturday,Shopping,--,--,--
January 2024,9,Saturday,Performance Max,--,24.32%,69.17%
January 2024,10,Sunday,Search,< 10%,32.68%,54.75%
January 2024,10,Sunday,Shopping,--,--,--
January 2024,10,Sunday,Performance Max,--,31.66%,62.38%
January 2024,10,Monday,Search,< 10%,22.5%,66%
January 2024,10,Monday,Shopping,--,--,--
January 2024,10,Monday,Performance Max,--,11.52%,83.41%
January 2024,10,Tuesday,Search,< 10%,17.31%,69.48%
January 2024,10,Tuesday,Shopping,--,--,--
January 2024,10,Tuesday,Performance Max,--,2.22%,> 90%
January 2024,10,Wednesday,Search,< 10%,1.49%,84.51%
January 2024,10,Wednesday,Shopping,--,--,--
January 2024,10,Wednesday,Performance Max,--,20.16%,74.36%
January 2024,10,Thursday,Search,< 10%,9.77%,79.8%
January 2024,10,Thursday,Shopping,--,--,--
January 2024,10,Thursday,Performance Max,--,27.44%,68.76%
January 2024,10,Friday,Search,< 10%,14.25%,74.59%
January 2024,10,Friday,Shopping,--,--,--
January 2024,10,Friday,Performance Max,--,5.29%,89.15%
January 2024,10,Saturday,Search,< 10%,37.75%,50.62%
January 2024,10,Saturday,Shopping,--,--,--
January 2024,10,Saturday,Performance Max,--,24.89%,69.39%
January 2024,11,Sunday,Search,< 10%,31.21%,55.33%
January 2024,11,Sunday,Shopping,--,--,--
January 2024,11,Sunday,Performance Max,--,31.65%,63.36%
January 2024,11,Monday,Search,< 10%,20.21%,68.88%
January 2024,11,Monday,Shopping,--,--,--
January 2024,11,Monday,Performance Max,--,11.57%,83.7%
January 2024,11,Tuesday,Search,< 10%,17.08%,71.61%
January 2024,11,Tuesday,Shopping,--,--,--
January 2024,11,Tuesday,Performance Max,--,2.34%,> 90%
January 2024,11,Wednesday,Search,< 10%,1.29%,86.7%
January 2024,11,Wednesday,Shopping,--,--,--
January 2024,11,Wednesday,Performance Max,--,23.62%,71.06%
January 2024,11,Thursday,Search,< 10%,13.26%,73.59%
January 2024,11,Thursday,Shopping,--,--,--
January 2024,11,Thursday,Performance Max,--,29.52%,67%
January 2024,11,Friday,Search,< 10%,10.81%,76.08%
January 2024,11,Friday,Shopping,--,--,--
January 2024,11,Friday,Performance Max,--,5.55%,> 90%
January 2024,11,Saturday,Search,< 10%,42.35%,47.43%
January 2024,11,Saturday,Shopping,--,--,--
January 2024,11,Saturday,Performance Max,--,25.4%,68.61%
January 2024,12,Sunday,Search,< 10%,32.53%,55.28%
January 2024,12,Sunday,Shopping,--,--,--
January 2024,12,Sunday,Performance Max,--,34.56%,60.2%
January 2024,12,Monday,Search,< 10%,19.74%,69.07%
January 2024,12,Monday,Shopping,--,--,--
January 2024,12,Monday,Performance Max,--,11.76%,84.13%
January 2024,12,Tuesday,Search,< 10%,18.39%,69.5%
January 2024,12,Tuesday,Shopping,--,--,--
January 2024,12,Tuesday,Performance Max,--,2.24%,> 90%
January 2024,12,Wednesday,Search,< 10%,1.43%,85.89%
January 2024,12,Wednesday,Shopping,--,--,--
January 2024,12,Wednesday,Performance Max,--,22.69%,72.19%
January 2024,12,Thursday,Search,< 10%,9.87%,78.52%
January 2024,12,Thursday,Shopping,--,--,--
January 2024,12,Thursday,Performance Max,--,26%,70.04%
January 2024,12,Friday,Search,< 10%,10.18%,80.3%
January 2024,12,Friday,Shopping,--,--,--
January 2024,12,Friday,Performance Max,--,5.46%,90%
January 2024,12,Saturday,Search,< 10%,42.72%,48.38%
January 2024,12,Saturday,Shopping,--,--,--
January 2024,12,Saturday,Performance Max,--,25.46%,69.2%
January 2024,13,Sunday,Search,< 10%,32.89%,55.11%
January 2024,13,Sunday,Shopping,--,--,--
January 2024,13,Sunday,Performance Max,--,40.91%,55.2%
January 2024,13,Monday,Search,< 10%,19.14%,70.88%
January 2024,13,Monday,Shopping,--,--,--
January 2024,13,Monday,Performance Max,--,12.32%,84.62%
January 2024,13,Tuesday,Search,< 10%,19.49%,70.16%
January 2024,13,Tuesday,Shopping,--,--,--
January 2024,13,Tuesday,Performance Max,--,2.48%,> 90%
January 2024,13,Wednesday,Search,< 10%,1.4%,85.05%
January 2024,13,Wednesday,Shopping,--,--,--
January 2024,13,Wednesday,Performance Max,--,22.65%,72.8%
January 2024,13,Thursday,Search,10.31%,1.04%,83.95%
January 2024,13,Thursday,Shopping,--,--,--
January 2024,13,Thursday,Performance Max,--,24.97%,71.43%
January 2024,13,Friday,Search,< 10%,11.61%,77.88%
January 2024,13,Friday,Shopping,--,--,--
January 2024,13,Friday,Performance Max,--,6.49%,89.73%
January 2024,13,Saturday,Search,< 10%,34.56%,55.29%
January 2024,13,Saturday,Shopping,--,--,--
January 2024,13,Saturday,Performance Max,--,27.79%,67.34%
January 2024,14,Sunday,Search,< 10%,33.08%,55.03%
January 2024,14,Sunday,Shopping,--,--,--
January 2024,14,Sunday,Performance Max,--,29.47%,62.41%
January 2024,14,Monday,Search,< 10%,19.4%,70.11%
January 2024,14,Monday,Shopping,--,--,--
January 2024,14,Monday,Performance Max,--,11.49%,84.63%
January 2024,14,Tuesday,Search,< 10%,19.82%,67.77%
January 2024,14,Tuesday,Shopping,--,--,--
January 2024,14,Tuesday,Performance Max,--,2.4%,> 90%
January 2024,14,Wednesday,Search,< 10%,1.37%,86.58%
January 2024,14,Wednesday,Shopping,--,--,--
January 2024,14,Wednesday,Performance Max,--,22.53%,72.7%
January 2024,14,Thursday,Search,< 10%,0.9%,85.02%
January 2024,14,Thursday,Shopping,--,--,--
January 2024,14,Thursday,Performance Max,--,30.21%,66.63%
January 2024,14,Friday,Search,< 10%,25.31%,63.31%
January 2024,14,Friday,Shopping,--,--,--
January 2024,14,Friday,Performance Max,--,9.69%,85.64%
January 2024,14,Saturday,Search,< 10%,18.57%,70.05%
January 2024,14,Saturday,Shopping,--,--,--
January 2024,14,Saturday,Performance Max,--,28.11%,66.92%
January 2024,15,Sunday,Search,10.1%,32.27%,53.63%
January 2024,15,Sunday,Shopping,--,--,--
January 2024,15,Sunday,Performance Max,--,12.61%,74.21%
January 2024,15,Monday,Search,< 10%,20.8%,68.08%
January 2024,15,Monday,Shopping,--,--,--
January 2024,15,Monday,Performance Max,--,10.33%,84.88%
January 2024,15,Tuesday,Search,< 10%,20.08%,68.59%
January 2024,15,Tuesday,Shopping,--,--,--
January 2024,15,Tuesday,Performance Max,--,2.36%,> 90%
January 2024,15,Wednesday,Search,< 10%,1.74%,86.27%
January 2024,15,Wednesday,Shopping,--,--,--
January 2024,15,Wednesday,Performance Max,--,22.26%,72.74%
January 2024,15,Thursday,Search,< 10%,1.39%,88.01%
January 2024,15,Thursday,Shopping,--,--,--
January 2024,15,Thursday,Performance Max,--,25.43%,70.54%
January 2024,15,Friday,Search,< 10%,23.62%,65.38%
January 2024,15,Friday,Shopping,--,--,--
January 2024,15,Friday,Performance Max,--,10.6%,85.44%
January 2024,15,Saturday,Search,< 10%,20.03%,69.15%
January 2024,15,Saturday,Shopping,--,--,--
January 2024,15,Saturday,Performance Max,--,31.24%,63.12%
January 2024,16,Sunday,Search,< 10%,30.67%,55.65%
January 2024,16,Sunday,Shopping,--,--,--
