Month,Hour of the day,Day of the week,Campaign type,Search top IS,Search lost IS (budget),Search lost IS (rank)
April 2024,0,Wednesday,Demand Gen,--,--,--
April 2024,0,Wednesday,Performance Max,--,9.9%,92.2%
April 2024,0,Thursday,Search,16.4%,7.8%,77.6%
April 2024,0,Thursday,Shopping,--,--,--
April 2024,0,Thursday,Demand Gen,--,--,--
April 2024,0,Thursday,Performance Max,--,65.0%,35.7%
April 2024,0,Friday,Search,20.2%,27.1%,51.3%
April 2024,0,Friday,Shopping,--,--,--
April 2024,0,Friday,Demand Gen,--,--,--
April 2024,0,Friday,Performance Max,--,74.8%,25.5%
April 2024,0,Saturday,Search,15.5%,6.3%,78.2%
April 2024,0,Saturday,Shopping,--,--,--
April 2024,0,Saturday,Demand Gen,--,--,--
April 2024,0,Saturday,Performance Max,--,36.5%,63.0%
April 2024,1,Sunday,Search,12.8%,13.2%,77.6%
April 2024,1,Sunday,Shopping,--,--,--
April 2024,1,Sunday,Demand Gen,--,--,--
April 2024,1,Sunday,Performance Max,--,1.8%,> 94.5%
April 2024,1,Monday,Search,18.5%,12.8%,69.0%
April 2024,1,Monday,Shopping,--,--,--
April 2024,1,Monday,Demand Gen,--,--,--
April 2024,1,Monday,Performance Max,--,4.8%,> 94.5%
April 2024,1,Tuesday,Search,14.6%,4.7%,81.3%
April 2024,1,Tuesday,Shopping,--,--,--
April 2024,1,Tuesday,Performance Max,--,1.2%,> 94.5%
April 2024,1,Wednesday,Search,< 10.5%,0%,92.5%
April 2024,1,Wednesday,Shopping,--,--,--
April 2024,1,Wednesday,Demand Gen,--,--,--
April 2024,1,Wednesday,Performance Max,--,9.4%,92.4%
April 2024,1,Thursday,Search,22.3%,7.4%,71.7%
April 2024,1,Thursday,Shopping,--,--,--
April 2024,1,Thursday,Demand Gen,--,--,--
April 2024,1,Thursday,Performance Max,--,65.3%,35.1%
April 2024,1,Friday,Search,12.7%,24.9%,60.5%
April 2024,1,Friday,Shopping,--,--,--
April 2024,1,Friday,Demand Gen,--,--,--
April 2024,1,Friday,Performance Max,--,70.5%,32.5%
April 2024,1,Saturday,Search,20.5%,5.1%,72.6%
April 2024,1,Saturday,Shopping,--,--,--
April 2024,1,Saturday,Demand Gen,--,--,--
April 2024,1,Saturday,Performance Max,--,38.4%,60.6%
April 2024,2,Sunday,Search,13.0%,11.5%,78.0%
April 2024,2,Sunday,Shopping,--,--,--
April 2024,2,Sunday,Demand Gen,--,--,--
April 2024,2,Sunday,Performance Max,--,2.3%,> 94.5%
April 2024,2,Monday,Search,16.4%,12.7%,71.2%
April 2024,2,Monday,Shopping,--,--,--
April 2024,2,Monday,Demand Gen,--,--,--
April 2024,2,Monday,Performance Max,--,5.1%,> 94.5%
April 2024,2,Tuesday,Search,13.5%,3.9%,82.3%
April 2024,2,Tuesday,Shopping,--,--,--
April 2024,2,Tuesday,Demand Gen,--,--,--
April 2024,2,Tuesday,Performance Max,--,1.3%,> 94.5%
April 2024,2,Wednesday,Search,17.3%,0%,84.3%
April 2024,2,Wednesday,Shopping,--,--,--
April 2024,2,Wednesday,Demand Gen,--,--,--
April 2024,2,Wednesday,Performance Max,--,9.7%,93.3%
April 2024,2,Thursday,Search,< 10.5%,9.5%,83.8%
April 2024,2,Thursday,Shopping,--,--,--
April 2024,2,Thursday,Demand Gen,--,--,--
April 2024,2,Thursday,Performance Max,--,65.3%,36.0%
April 2024,2,Friday,Search,22.7%,28.7%,49.4%
April 2024,2,Friday,Shopping,--,--,--
April 2024,2,Friday,Demand Gen,--,--,--
April 2024,2,Friday,Performance Max,--,64.5%,38.8%
April 2024,2,Saturday,Search,19.7%,7.2%,72.6%
April 2024,2,Saturday,Shopping,--,--,--
April 2024,2,Saturday,Demand Gen,--,--,--
April 2024,2,Saturday,Performance Max,--,40.0%,52.5%
April 2024,3,Sunday,Search,14.2%,12.8%,73.7%
April 2024,3,Sunday,Shopping,--,--,--
April 2024,3,Sunday,Demand Gen,--,--,--
April 2024,3,Sunday,Performance Max,--,3.9%,> 94.5%
April 2024,3,Monday,Search,15.3%,12.0%,73.9%
April 2024,3,Monday,Shopping,--,--,--
April 2024,3,Monday,Demand Gen,--,--,--
April 2024,3,Monday,Performance Max,--,5.3%,> 94.5%
April 2024,3,Tuesday,Search,13.8%,4.1%,87.3%
April 2024,3,Tuesday,Shopping,--,--,--
April 2024,3,Tuesday,Demand Gen,--,--,--
April 2024,3,Tuesday,Performance Max,--,1.5%,> 94.5%
April 2024,3,Wednesday,Search,22.9%,0%,81.0%
April 2024,3,Wednesday,Shopping,--,--,--
April 2024,3,Wednesday,Demand Gen,--,--,--
April 2024,3,Wednesday,Performance Max,--,10.3%,91.3%
April 2024,3,Thursday,Search,12.9%,6.9%,82.6%
April 2024,3,Thursday,Shopping,--,--,--
April 2024,3,Thursday,Demand Gen,--,--,--
April 2024,3,Thursday,Performance Max,--,65.1%,35.5%
April 2024,3,Friday,Search,23.4%,26.9%,51.6%
April 2024,3,Friday,Shopping,--,--,--
April 2024,3,Friday,Demand Gen,--,--,--
April 2024,3,Friday,Performance Max,--,64.1%,39.6%
April 2024,3,Saturday,Search,17.7%,6.3%,78.6%
April 2024,3,Saturday,Shopping,--,--,--
April 2024,3,Saturday,Demand Gen,--,--,--
April 2024,3,Saturday,Performance Max,--,46.7%,46.7%
April 2024,4,Sunday,Search,15.4%,12.4%,74.6%
April 2024,4,Sunday,Shopping,--,--,--
April 2024,4,Sunday,Demand Gen,--,--,--
April 2024,4,Sunday,Performance Max,--,3.0%,> 94.5%
April 2024,4,Monday,Search,20.5%,13.8%,66.6%
April 2024,4,Monday,Shopping,--,--,--
April 2024,4,Monday,Demand Gen,--,--,--
April 2024,4,Monday,Performance Max,--,4.5%,> 94.5%
April 2024,4,Tuesday,Search,15.7%,4.5%,83.0%
April 2024,4,Tuesday,Shopping,--,--,--
April 2024,4,Tuesday,Demand Gen,--,--,--
April 2024,4,Tuesday,Performance Max,--,2.0%,> 94.5%
April 2024,4,Wednesday,Search,13.9%,0%,88.1%
April 2024,4,Wednesday,Shopping,--,--,--
April 2024,4,Wednesday,Demand Gen,--,--,--
April 2024,4,Wednesday,Performance Max,--,10.5%,91.7%
April 2024,4,Thursday,Search,16.3%,10.0%,75.8%
April 2024,4,Thursday,Shopping,--,--,--
April 2024,4,Thursday,Demand Gen,--,--,--
April 2024,4,Thursday,Performance Max,--,65.1%,37.8%
April 2024,4,Friday,Search,19.2%,27.0%,54.0%
April 2024,4,Friday,Shopping,--,--,--
April 2024,4,Friday,Demand Gen,--,--,--
April 2024,4,Friday,Performance Max,--,63.1%,39.3%
April 2024,4,Saturday,Search,16.4%,5.9%,77.0%
April 2024,4,Saturday,Shopping,--,--,--
April 2024,4,Saturday,Demand Gen,--,--,--
April 2024,4,Saturday,Performance Max,--,53.5%,42.0%
April 2024,5,Sunday,Search,14.4%,10.5%,77.4%
April 2024,5,Sunday,Shopping,--,--,--
April 2024,5,Sunday,Demand Gen,--,--,--
April 2024,5,Sunday,Performance Max,--,3.6%,> 94.5%
April 2024,5,Monday,Search,18.3%,16.6%,65.8%
April 2024,5,Monday,Shopping,--,--,--
April 2024,5,Monday,Demand Gen,--,--,--
April 2024,5,Monday,Performance Max,--,4.7%,> 94.5%
April 2024,5,Tuesday,Search,16.4%,4.9%,78.6%
April 2024,5,Tuesday,Shopping,--,--,--
April 2024,5,Tuesday,Demand Gen,--,--,--
April 2024,5,Tuesday,Performance Max,--,1.8%,> 94.5%
April 2024,5,Wednesday,Search,19.4%,0%,82.3%
April 2024,5,Wednesday,Shopping,--,--,--
April 2024,5,Wednesday,Demand Gen,--,--,--
April 2024,5,Wednesday,Performance Max,--,10.2%,90.1%
April 2024,5,Thursday,Search,15.1%,8.8%,79.1%
April 2024,5,Thursday,Shopping,--,--,--
April 2024,5,Thursday,Demand Gen,--,--,--
April 2024,5,Thursday,Performance Max,--,65.2%,37.2%
April 2024,5,Friday,Search,16.5%,30.3%,54.0%
April 2024,5,Friday,Shopping,--,--,--
April 2024,5,Friday,Demand Gen,--,--,--
April 2024,5,Friday,Performance Max,--,54.4%,48.2%
April 2024,5,Saturday,Search,17.1%,9.0%,74.9%
April 2024,5,Saturday,Shopping,--,--,--
April 2024,5,Saturday,Demand Gen,--,--,--
April 2024,5,Saturday,Performance Max,--,55.1%,41.3%
April 2024,6,Sunday,Search,16.8%,12.4%,72.7%
April 2024,6,Sunday,Shopping,--,--,--
April 2024,6,Sunday,Demand Gen,--,--,--
April 2024,6,Sunday,Performance Max,--,4.5%,> 94.5%
April 2024,6,Monday,Search,18.5%,15.8%,65.4%
April 2024,6,Monday,Shopping,--,--,--
April 2024,6,Monday,Demand Gen,--,--,--
April 2024,6,Monday,Performance Max,--,4.8%,> 94.5%
April 2024,6,Tuesday,Search,14.5%,5.8%,82.4%
April 2024,6,Tuesday,Shopping,--,--,--
April 2024,6,Tuesday,Demand Gen,--,--,--
April 2024,6,Tuesday,Performance Max,--,1.9%,> 94.5%
April 2024,6,Wednesday,Search,14.3%,0%,88.5%
April 2024,6,Wednesday,Shopping,--,--,--
April 2024,6,Wednesday,Demand Gen,--,--,--
April 2024,6,Wednesday,Performance Max,--,10.2%,92.2%
April 2024,6,Thursday,Search,12.2%,10.1%,80.1%
April 2024,6,Thursday,Shopping,--,--,--
April 2024,6,Thursday,Demand Gen,--,--,--
April 2024,6,Thursday,Performance Max,--,65.1%,36.8%
April 2024,6,Friday,Search,15.6%,30.5%,56.0%
April 2024,6,Friday,Shopping,--,--,--
April 2024,6,Friday,Demand Gen,--,--,--
April 2024,6,Friday,Performance Max,--,40.4%,61.2%
April 2024,6,Saturday,Search,19.0%,8.9%,72.7%
April 2024,6,Saturday,Shopping,--,--,--
April 2024,6,Saturday,Demand Gen,--,--,--
April 2024,6,Saturday,Performance Max,--,52.5%,40.0%
April 2024,7,Sunday,Search,17.3%,12.1%,73.5%
April 2024,7,Sunday,Shopping,--,--,--
April 2024,7,Sunday,Demand Gen,--,--,--
April 2024,7,Sunday,Performance Max,--,5.7%,> 94.5%
April 2024,7,Monday,Search,16.6%,15.1%,69.0%
April 2024,7,Monday,Shopping,--,--,--
April 2024,7,Monday,Demand Gen,--,--,--
April 2024,7,Monday,Performance Max,--,4.4%,> 94.5%
April 2024,7,Tuesday,Search,18.6%,4.8%,79.8%
April 2024,7,Tuesday,Shopping,--,--,--
April 2024,7,Tuesday,Demand Gen,--,--,--
April 2024,7,Tuesday,Performance Max,--,1.6%,> 94.5%
April 2024,7,Wednesday,Search,12.6%,0%,88.9%
April 2024,7,Wednesday,Shopping,--,--,--
April 2024,7,Wednesday,Demand Gen,--,--,--
April 2024,7,Wednesday,Performance Max,--,9.6%,92.7%
April 2024,7,Thursday,Search,15.5%,9.3%,78.6%
April 2024,7,Thursday,Shopping,--,--,--
April 2024,7,Thursday,Demand Gen,--,--,--
April 2024,7,Thursday,Performance Max,--,64.9%,36.8%
April 2024,7,Friday,Search,14.8%,30.8%,57.8%
April 2024,7,Friday,Shopping,--,--,--
April 2024,7,Friday,Demand Gen,--,--,--
April 2024,7,Friday,Performance Max,--,51.7%,49.8%
April 2024,7,Saturday,Search,17.6%,8.9%,73.7%
April 2024,7,Saturday,Shopping,--,--,--
April 2024,7,Saturday,Demand Gen,--,--,--
April 2024,7,Saturday,Performance Max,--,41.6%,41.6%
April 2024,8,Sunday,Search,15.4%,11.8%,76.3%
April 2024,8,Sunday,Shopping,--,--,--
April 2024,8,Sunday,Demand Gen,--,--,--
April 2024,8,Sunday,Performance Max,--,2.9%,> 94.5%
April 2024,8,Monday,Search,14.8%,14.5%,71.4%
April 2024,8,Monday,Shopping,--,--,--
April 2024,8,Monday,Demand Gen,--,--,--
April 2024,8,Monday,Performance Max,--,5.5%,> 94.5%
April 2024,8,Tuesday,Search,16.5%,5.1%,81.7%
April 2024,8,Tuesday,Shopping,--,--,--
April 2024,8,Tuesday,Demand Gen,--,--,--
April 2024,8,Tuesday,Performance Max,--,1.7%,> 94.5%
April 2024,8,Wednesday,Search,13.9%,0%,89.3%
April 2024,8,Wednesday,Shopping,--,--,--
April 2024,8,Wednesday,Demand Gen,--,--,--
April 2024,8,Wednesday,Performance Max,--,10.0%,92.7%
April 2024,8,Thursday,Search,14.3%,9.5%,79.7%
April 2024,8,Thursday,Shopping,--,--,--
April 2024,8,Thursday,Demand Gen,--,--,--
April 2024,8,Thursday,Performance Max,--,64.9%,36.4%
April 2024,8,Friday,Search,13.0%,31.5%,58.2%
April 2024,8,Friday,Shopping,--,--,--
April 2024,8,Friday,Demand Gen,--,--,--
April 2024,8,Friday,Performance Max,--,69.5%,33.0%
April 2024,8,Saturday,Search,15.5%,7.8%,78.2%
April 2024,8,Saturday,Shopping,--,--,--
April 2024,8,Saturday,Demand Gen,--,--,--
April 2024,8,Saturday,Performance Max,--,39.4%,48.1%
April 2024,9,Sunday,Search,16.9%,13.0%,72.9%
April 2024,9,Sunday,Shopping,--,--,--
April 2024,9,Sunday,Demand Gen,--,--,--
April 2024,9,Sunday,Performance Max,--,5.2%,94.0%
April 2024,9,Monday,Search,12.9%,13.4%,75.3%
April 2024,9,Monday,Shopping,--,--,--
April 2024,9,Monday,Demand Gen,--,--,--
April 2024,9,Monday,Performance Max,--,5.8%,> 94.5%
April 2024,9,Tuesday,Search,16.0%,5.6%,80.4%
April 2024,9,Tuesday,Shopping,--,--,--
April 2024,9,Tuesday,Demand Gen,--,--,--
April 2024,9,Tuesday,Performance Max,--,1.8%,> 94.5%
April 2024,9,Wednesday,Search,11.3%,0%,89.8%
April 2024,9,Wednesday,Shopping,--,--,--
April 2024,9,Wednesday,Demand Gen,--,--,--
April 2024,9,Wednesday,Performance Max,--,9.0%,91.4%
April 2024,9,Thursday,Search,15.7%,9.7%,79.1%
April 2024,9,Thursday,Shopping,--,--,--
April 2024,9,Thursday,Demand Gen,--,--,--
April 2024,9,Thursday,Performance Max,--,64.9%,37.1%
April 2024,9,Friday,Search,13.5%,31.2%,56.8%
April 2024,9,Friday,Shopping,--,--,--
April 2024,9,Friday,Demand Gen,--,--,--
April 2024,9,Friday,Performance Max,--,73.6%,27.1%
April 2024,9,Saturday,Search,15.1%,8.5%,76.1%
April 2024,9,Saturday,Shopping,--,--,--
April 2024,9,Saturday,Demand Gen,--,--,--
April 2024,9,Saturday,Performance Max,--,34.3%,56.5%
April 2024,10,Sunday,Search,15.2%,12.2%,75.5%
April 2024,10,Sunday,Shopping,--,--,--
April 2024,10,Sunday,Demand Gen,--,--,--
April 2024,10,Sunday,Performance Max,--,7.0%,93.1%
April 2024,10,Monday,Search,14.4%,14.3%,72.8%
April 2024,10,Monday,Shopping,--,--,--
April 2024,10,Monday,Demand Gen,--,--,--
April 2024,10,Monday,Performance Max,--,5.9%,> 94.5%
April 2024,10,Tuesday,Search,13.0%,6.1%,82.6%
April 2024,10,Tuesday,Shopping,--,--,--
April 2024,10,Tuesday,Demand Gen,--,--,--
April 2024,10,Tuesday,Performance Max,--,1.8%,> 94.5%
April 2024,10,Wednesday,Search,11.0%,0%,92.2%
April 2024,10,Wednesday,Shopping,--,--,--
April 2024,10,Wednesday,Demand Gen,--,--,--
April 2024,10,Wednesday,Performance Max,--,10.0%,91.7%
April 2024,10,Thursday,Search,14.8%,9.3%,78.2%
April 2024,10,Thursday,Shopping,--,--,--
April 2024,10,Thursday,Demand Gen,--,--,--
April 2024,10,Thursday,Performance Max,--,65.0%,37.2%
April 2024,10,Friday,Search,13.9%,29.2%,56.7%
April 2024,10,Friday,Shopping,--,--,--
April 2024,10,Friday,Demand Gen,--,--,--
April 2024,10,Friday,Performance Max,--,73.3%,28.3%
April 2024,10,Saturday,Search,15.3%,8.1%,79.2%
April 2024,10,Saturday,Shopping,--,--,--
April 2024,10,Saturday,Demand Gen,--,--,--
April 2024,10,Saturday,Performance Max,--,47.3%,41.4%
April 2024,11,Sunday,Search,12.3%,11.5%,79.0%
April 2024,11,Sunday,Shopping,--,--,--
April 2024,11,Sunday,Demand Gen,--,--,--
April 2024,11,Sunday,Performance Max,--,10.2%,88.9%
April 2024,11,Monday,Search,14.7%,14.9%,72.1%
April 2024,11,Monday,Shopping,--,--,--
April 2024,11,Monday,Demand Gen,--,--,--
April 2024,11,Monday,Performance Max,--,5.9%,> 94.5%
April 2024,11,Tuesday,Search,15.4%,4.2%,80.1%
April 2024,11,Tuesday,Shopping,--,--,--
April 2024,11,Tuesday,Demand Gen,--,--,--
April 2024,11,Tuesday,Performance Max,--,1.8%,> 94.5%
April 2024,11,Wednesday,Search,14.3%,0.4%,85.6%
April 2024,11,Wednesday,Shopping,--,--,--
April 2024,11,Wednesday,Demand Gen,--,--,--
April 2024,11,Wednesday,Performance Max,--,9.8%,91.3%
April 2024,11,Thursday,Search,13.9%,9.2%,79.4%
April 2024,11,Thursday,Shopping,--,--,--
April 2024,11,Thursday,Demand Gen,--,--,--
April 2024,11,Thursday,Performance Max,--,65.5%,35.5%
April 2024,11,Friday,Search,12.4%,31.8%,57.9%
April 2024,11,Friday,Shopping,--,--,--
April 2024,11,Friday,Demand Gen,--,--,--
April 2024,11,Friday,Performance Max,--,74.1%,28.2%
April 2024,11,Saturday,Search,15.0%,7.3%,80.5%
April 2024,11,Saturday,Shopping,--,--,--
April 2024,11,Saturday,Demand Gen,--,--,--
April 2024,11,Saturday,Performance Max,--,64.6%,32.3%
April 2024,12,Sunday,Search,13.4%,13.8%,76.0%
April 2024,12,Sunday,Shopping,--,--,--
April 2024,12,Sunday,Demand Gen,--,--,--
April 2024,12,Sunday,Performance Max,--,12.0%,87.2%
April 2024,12,Monday,Search,13.6%,14.8%,73.8%
April 2024,12,Monday,Shopping,--,--,--
April 2024,12,Monday,Demand Gen,--,--,--
April 2024,12,Monday,Performance Max,--,4.2%,> 94.5%
April 2024,12,Tuesday,Search,16.1%,5.2%,79.6%
April 2024,12,Tuesday,Shopping,--,--,--
April 2024,12,Tuesday,Demand Gen,--,--,--
April 2024,12,Tuesday,Performance Max,--,1.9%,> 94.5%
April 2024,12,Wednesday,Search,11.4%,0%,89.1%
April 2024,12,Wednesday,Shopping,--,--,--
April 2024,12,Wednesday,Demand Gen,--,--,--
April 2024,12,Wednesday,Performance Max,--,10.3%,91.2%
April 2024,12,Thursday,Search,12.7%,9.5%,80.7%
April 2024,12,Thursday,Shopping,--,--,--
April 2024,12,Thursday,Demand Gen,--,--,--
April 2024,12,Thursday,Performance Max,--,65.2%,37.5%
April 2024,12,Friday,Search,11.2%,31.7%,59.1%
April 2024,12,Friday,Shopping,--,--,--
April 2024,12,Friday,Demand Gen,--,--,--
April 2024,12,Friday,Performance Max,--,73.3%,26.8%
April 2024,12,Saturday,Search,12.7%,7.5%,82.5%
April 2024,12,Saturday,Shopping,--,--,--
April 2024,12,Saturday,Demand Gen,--,--,--
April 2024,12,Saturday,Performance Max,--,62.9%,37.0%
April 2024,13,Sunday,Search,15.7%,14.2%,72.5%
April 2024,13,Sunday,Shopping,--,--,--
April 2024,13,Sunday,Demand Gen,--,--,--
April 2024,13,Sunday,Performance Max,--,13.4%,89.0%
April 2024,13,Monday,Search,16.5%,15.2%,70.5%
April 2024,13,Monday,Shopping,--,--,--
April 2024,13,Monday,Demand Gen,--,--,--
April 2024,13,Monday,Performance Max,--,5.1%,> 94.5%
April 2024,13,Tuesday,Search,15.7%,5.2%,80.1%
April 2024,13,Tuesday,Shopping,--,--,--
April 2024,13,Tuesday,Demand Gen,--,--,--
April 2024,13,Tuesday,Performance Max,--,1.9%,> 94.5%
April 2024,13,Wednesday,Search,12.0%,0%,88.8%
April 2024,13,Wednesday,Shopping,--,--,--
April 2024,13,Wednesday,Demand Gen,--,--,--
April 2024,13,Wednesday,Performance Max,--,10.4%,91.2%
April 2024,13,Thursday,Search,11.7%,8.6%,83.5%
April 2024,13,Thursday,Shopping,--,--,--
April 2024,13,Thursday,Demand Gen,--,--,--
April 2024,13,Thursday,Performance Max,--,65.1%,36.7%
April 2024,13,Friday,Search,< 10.5%,30.6%,61.2%
April 2024,13,Friday,Shopping,--,--,--
April 2024,13,Friday,Demand Gen,--,--,--
April 2024,13,Friday,Performance Max,--,73.5%,29.1%
April 2024,13,Saturday,Search,13.9%,8.2%,78.8%
April 2024,13,Saturday,Shopping,--,--,--
April 2024,13,Saturday,Demand Gen,--,--,--
April 2024,13,Saturday,Performance Max,--,65.3%,33.3%
April 2024,14,Sunday,Search,13.6%,11.6%,76.7%
April 2024,14,Sunday,Demand Gen,--,--,--
April 2024,14,Sunday,Performance Max,--,10.9%,87.6%
April 2024,14,Monday,Search,13.2%,14.6%,74.6%
April 2024,14,Monday,Shopping,--,--,--
April 2024,14,Monday,Demand Gen,--,--,--
April 2024,14,Monday,Performance Max,--,4.5%,> 94.5%
April 2024,14,Tuesday,Search,15.8%,4.7%,82.1%
April 2024,14,Tuesday,Shopping,--,--,--
April 2024,14,Tuesday,Demand Gen,--,--,--
April 2024,14,Tuesday,Performance Max,--,1.4%,> 94.5%
April 2024,14,Wednesday,Search,11.9%,0%,90.5%
April 2024,14,Wednesday,Shopping,--,--,--
April 2024,14,Wednesday,Demand Gen,--,--,--
April 2024,14,Wednesday,Performance Max,--,10.4%,91.6%
April 2024,14,Thursday,Search,12.0%,9.4%,81.2%
April 2024,14,Thursday,Shopping,--,--,--
April 2024,14,Thursday,Demand Gen,--,--,--
April 2024,14,Thursday,Performance Max,--,65.6%,37.7%
April 2024,14,Friday,Search,12.7%,31.5%,58.6%
April 2024,14,Friday,Shopping,--,--,--
April 2024,14,Friday,Demand Gen,--,--,--
April 2024,14,Friday,Performance Max,--,73.0%,28.0%
April 2024,14,Saturday,Search,16.6%,10.0%,75.8%
April 2024,14,Saturday,Shopping,--,--,--
April 2024,14,Saturday,Demand Gen,--,--,--
April 2024,14,Saturday,Performance Max,--,63.3%,32.7%
April 2024,15,Sunday,Search,14.6%,12.8%,75.9%
April 2024,15,Sunday,Demand Gen,--,--,--
April 2024,15,Sunday,Performance Max,--,11.1%,88.7%
April 2024,15,Monday,Search,12.1%,15.1%,74.8%
April 2024,15,Monday,Shopping,--,--,--
April 2024,15,Monday,Demand Gen,--,--,--
April 2024,15,Monday,Performance Max,--,4.4%,> 94.5%
April 2024,15,Tuesday,Search,13.1%,5.5%,83.7%
April 2024,15,Tuesday,Shopping,--,--,--
April 2024,15,Tuesday,Demand Gen,--,--,--
April 2024,15,Tuesday,Performance Max,--,1.7%,> 94.5%
April 2024,15,Wednesday,Search,< 10.5%,0.2%,93.1%
April 2024,15,Wednesday,Shopping,--,--,--
April 2024,15,Wednesday,Demand Gen,--,--,--
April 2024,15,Wednesday,Performance Max,--,10.4%,91.7%
April 2024,15,Thursday,Search,14.8%,8.1%,79.8%
April 2024,15,Thursday,Shopping,--,--,--
April 2024,15,Thursday,Demand Gen,--,--,--
April 2024,15,Thursday,Performance Max,--,65.3%,36.8%
April 2024,15,Friday,Search,14.8%,30.2%,59.0%
April 2024,15,Friday,Shopping,--,--,--
April 2024,15,Friday,Demand Gen,--,--,--
April 2024,15,Friday,Performance Max,--,71.9%,28.0%
April 2024,15,Saturday,Search,13.1%,8.5%,80.8%
April 2024,15,Saturday,Shopping,--,--,--
April 2024,15,Saturday,Demand Gen,--,--,--
April 2024,15,Saturday,Performance Max,--,64.3%,26.8%
April 2024,16,Sunday,Search,12.9%,14.4%,75.1%
April 2024,16,Sunday,Demand Gen,--,--,--
April 2024,16,Sunday,Performance Max,--,15.1%,84.4%
April 2024,16,Monday,Search,15.4%,14.3%,71.8%
April 2024,16,Monday,Shopping,--,--,--
April 2024,16,Monday,Demand Gen,--,--,--
April 2024,16,Monday,Performance Max,--,4.7%,> 94.5%
April 2024,16,Tuesday,Search,16.7%,5.7%,80.9%
April 2024,16,Tuesday,Shopping,--,--,--
April 2024,16,Tuesday,Demand Gen,--,--,--
April 2024,16,Tuesday,Performance Max,--,1.6%,> 94.5%
April 2024,16,Wednesday,Search,12.0%,0%,89.6%
April 2024,16,Wednesday,Shopping,--,--,--
April 2024,16,Wednesday,Demand Gen,--,--,--
April 2024,16,Wednesday,Performance Max,--,10.2%,90.9%
April 2024,16,Thursday,Search,15.8%,9.2%,77.4%
April 2024,16,Thursday,Shopping,--,--,--
April 2024,16,Thursday,Demand Gen,--,--,--
April 2024,16,Thursday,Performance Max,--,65.2%,36.0%
April 2024,16,Friday,Search,17.6%,30.9%,53.7%
April 2024,16,Friday,Shopping,--,--,--
April 2024,16,Friday,Demand Gen,--,--,--
April 2024,16,Friday,Performance Max,--,73.6%,23.8%
April 2024,16,Saturday,Search,12.4%,8.1%,82.6%
April 2024,16,Saturday,Shopping,--,--,--
April 2024,16,Saturday,Demand Gen,--,--,--
April 2024,16,Saturday,Performance Max,--,18.8%,32.1%
April 2024,17,Sunday,Search,12.6%,12.3%,77.6%
April 2024,17,Sunday,Demand Gen,--,--,--
April 2024,17,Sunday,Performance Max,--,24.0%,71.7%
April 2024,17,Monday,Search,13.7%,15.3%,72.8%
April 2024,17,Monday,Shopping,--,--,--
April 2024,17,Monday,Demand Gen,--,--,--
April 2024,17,Monday,Performance Max,--,4.4%,> 94.5%
April 2024,17,Tuesday,Search,12.9%,6.3%,83.4%
April 2024,17,Tuesday,Shopping,--,--,--
April 2024,17,Tuesday,Demand Gen,--,--,--
April 2024,17,Tuesday,Performance Max,--,2.1%,> 94.5%
April 2024,17,Wednesday,Search,14.4%,0.1%,89.1%
April 2024,17,Wednesday,Shopping,--,--,--
April 2024,17,Wednesday,Demand Gen,--,--,--
April 2024,17,Wednesday,Performance Max,--,10.7%,91.1%
April 2024,17,Thursday,Search,14.7%,8.4%,80.3%
April 2024,17,Thursday,Shopping,--,--,--
April 2024,17,Thursday,Demand Gen,--,--,--
April 2024,17,Thursday,Performance Max,--,64.8%,35.9%
April 2024,17,Friday,Search,16.2%,30.8%,55.2%
April 2024,17,Friday,Shopping,--,--,--
April 2024,17,Friday,Demand Gen,--,--,--
April 2024,17,Friday,Performance Max,--,74.7%,23.5%
April 2024,17,Saturday,Search,11.6%,7.9%,82.7%
April 2024,17,Saturday,Shopping,--,--,--
April 2024,17,Saturday,Demand Gen,--,--,--
April 2024,17,Saturday,Performance Max,--,27.6%,25.2%
April 2024,18,Sunday,Search,15.5%,12.3%,73.4%
April 2024,18,Sunday,Demand Gen,--,--,--
April 2024,18,Sunday,Performance Max,--,18.2%,77.0%
April 2024,18,Monday,Search,16.2%,14.6%,71.2%
April 2024,18,Monday,Shopping,--,--,--
April 2024,18,Monday,Demand Gen,--,--,--
April 2024,18,Monday,Performance Max,--,5.0%,> 94.5%
April 2024,18,Tuesday,Search,13.2%,6.2%,83.7%
April 2024,18,Tuesday,Demand Gen,--,--,--
April 2024,18,Tuesday,Performance Max,--,1.8%,> 94.5%
April 2024,18,Wednesday,Search,14.6%,0.4%,87.9%
April 2024,18,Wednesday,Shopping,--,--,--
April 2024,18,Wednesday,Demand Gen,--,--,--
April 2024,18,Wednesday,Performance Max,--,11.0%,89.1%
April 2024,18,Thursday,Search,18.6%,6.3%,78.6%
April 2024,18,Thursday,Demand Gen,--,--,--
April 2024,18,Thursday,Performance Max,--,65.0%,36.1%
April 2024,18,Friday,Search,14.7%,28.0%,57.6%
April 2024,18,Friday,Shopping,--,--,--
April 2024,18,Friday,Demand Gen,--,--,--
April 2024,18,Friday,Performance Max,--,69.4%,19.3%
April 2024,18,Saturday,Search,11.7%,8.3%,81.3%
April 2024,18,Saturday,Shopping,--,--,--
April 2024,18,Saturday,Demand Gen,--,--,--
April 2024,18,Saturday,Performance Max,--,35.8%,31.5%
April 2024,19,Sunday,Search,15.4%,9.7%,76.5%
April 2024,19,Sunday,Demand Gen,--,--,--
April 2024,19,Sunday,Performance Max,--,10.9%,89.2%
