groupName,campaignName,assetGroupName,listingGroupKey,weekday,avgROAS,avgCost,stability
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / 6507837599~11798192132,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests,6507837599~11798192132,0,0.352,91.08,0.257
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / 6507837599~11798192132,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests,6507837599~11798192132,1,0.142,99.5,0.674
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / 6507837599~11798192132,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests,6507837599~11798192132,2,3.676,94.07,0.011
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / 6507837599~11798192132,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests,6507837599~11798192132,3,2.253,91.51,0.016
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / 6507837599~11798192132,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests,6507837599~11798192132,4,3.17,102.06,0.01
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / 6507837599~11798192132,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests,6507837599~11798192132,5,1.988,101.72,0.029
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / 6507837599~11798192132,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests,6507837599~11798192132,6,1.368,102.66,0.056
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / 6507862840~11806724758,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed - Assets - Interests,6507862840~11806724758,0,1.138,86.41,0.038
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / 6507862840~11806724758,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed - Assets - Interests,6507862840~11806724758,1,2.824,100.33,0.011
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / 6507862840~11806724758,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed - Assets - Interests,6507862840~11806724758,2,6.155,96.71,0.003
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / 6507862840~11806724758,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed - Assets - Interests,6507862840~11806724758,3,6.206,94.47,0.002
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / 6507862840~11806724758,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed - Assets - Interests,6507862840~11806724758,4,6.718,111.24,0.005
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / 6507862840~11806724758,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed - Assets - Interests,6507862840~11806724758,5,8.297,91.79,0.005
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / 6507862840~11806724758,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed - Assets - Interests,6507862840~11806724758,6,1.415,103.52,0.058
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only - Interests / 6561576731~12413810730,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed Only - Interests,6561576731~12413810730,0,0.0,0.95,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only - Interests / 6561576731~12413810730,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed Only - Interests,6561576731~12413810730,1,0.0,0.3,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only - Interests / 6561576731~12413810730,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed Only - Interests,6561576731~12413810730,2,1.366,2.72,0.021
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only - Interests / 6561576731~12413810730,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed Only - Interests,6561576731~12413810730,3,0.0,2.82,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only - Interests / 6561576731~12413810730,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed Only - Interests,6561576731~12413810730,4,0.0,1.11,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only - Interests / 6561576731~12413810730,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed Only - Interests,6561576731~12413810730,5,0.0,2.63,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only - Interests / 6561576731~12413810730,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed Only - Interests,6561576731~12413810730,6,0.0,0.77,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / 6561576740~12413812533,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed - Assets - Interests,6561576740~12413812533,0,0.0,0.0,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / 6561576740~12413812533,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed - Assets - Interests,6561576740~12413812533,1,0.0,0.57,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / 6561576740~12413812533,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed - Assets - Interests,6561576740~12413812533,2,0.0,0.53,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / 6561576740~12413812533,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed - Assets - Interests,6561576740~12413812533,3,0.0,0.32,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / 6561576740~12413812533,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed - Assets - Interests,6561576740~12413812533,4,0.0,0.05,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / 6561576740~12413812533,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed - Assets - Interests,6561576740~12413812533,5,0.0,0.39,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / 6561576740~12413812533,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed - Assets - Interests,6561576740~12413812533,6,0.0,0.0,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed - Assets - Interests / 6561577181~12413812542,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed - Assets - Interests,6561577181~12413812542,0,0.0,0.0,1.0
