campaignId,campaignName,assetGroupId,assetGroupName,assetId,assetType,assetText,performanceLabel,impressions,clicks,conversions,convValue,cost,ctr,cvrConv,cvrVal,roas,prev_ctr,prev_cvrConv,prev_cvrVal,prev_roas,ctr_change,cvr_change,roas_change,momentum_ctr,momentum_cvr,isFatigued,isWinner
21485040172,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,6506889828,Feed Only - Interests,35112578500,TEXT,Smart Cooling Topper,UNKNOWN,25,1,0.0,0.0,11.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Accelerating,Stable,False,False
20586946478,US_PerformanceMax_TotalCoverage_MaxConvtCPA,6507837599,Feed - Assets - Interests,35112578500,TEXT,Smart Cooling Topper,UNKNOWN,5053,323,2.255158,5676.626489108,1692.689688,0.06392242232337225,0.006981913312693499,17.574695012718266,3.3536132046832674,0.051778329197684034,0.030204121405750798,65.7424158837444,10.192741880060773,0.23454007330602328,-0.7688423636330585,-0.6709802677095487,Accelerating,Declining,False,True
21485040172,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,6507862840,Feed - Assets - Interests,35112578500,TEXT,Smart Cooling Topper,UNKNOWN,3000,80,0.0,0.0,295.961596,0.02666666666666667,0.0,0.0,0.0,0.032116788321167884,0.00909090909090909,22.9136838099,5.085194626395882,-0.16969696969696968,-1.0,-1.0,Declining,Declining,False,False
22339607928,CA_PerformanceMax_TotalCoverage_MaxConvValue,6561576740,Feed - Assets - Interests,35112578500,TEXT,Smart Cooling Topper,UNKNOWN,2960,347,1.5,3146.105107587,1291.201535,0.11722972972972973,0.004322766570605188,9.066585324458213,2.436571691023431,0.13325107958050586,0.03009259259259259,77.3139792665463,16.135627028009605,-0.12023429679679683,-0.8563511416537353,-0.8489942977242954,Stable,Declining,False,False
20586946478,US_PerformanceMax_TotalCoverage_MaxConvtCPA,6507837599,Feed - Assets - Interests,39922930515,TEXT,Read Our Customer Reviews,LOW,2828,86,0.0,0.0,874.556079,0.03041018387553041,0.0,0.0,0.0,0.017937219730941704,0.05092591666666667,87.00132794572222,6.549059288404173,0.6953677510608203,-1.0,-1.0,Accelerating,Declining,True,True
21485040172,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,6507862840,Feed - Assets - Interests,39922930515,TEXT,Read Our Customer Reviews,LOW,5050,58,0.0,0.0,178.138896,0.011485148514851485,0.0,0.0,0.0,0.009389671361502348,0.013157894736842105,21.94601435413158,5.686564406681539,0.22316831683168312,-1.0,-1.0,Accelerating,Declining,True,True
22339607928,CA_PerformanceMax_TotalCoverage_MaxConvValue,6561576740,Feed - Assets - Interests,39922930515,TEXT,Read Our Customer Reviews,LOW,3653,140,3.19352,7491.223209985,800.445563,0.03832466465918423,0.022810857142857143,53.50873721417857,9.358816584488956,0.03746177370030581,0.0,0.0,0.0,0.02303390559618311,1.0,1.0,Stable,Accelerating,True,True
20586946478,US_PerformanceMax_TotalCoverage_MaxConvtCPA,6477743034,Feed Only,43673935045,TEXT,See Why They Rate Us 4.9/5,UNKNOWN,148,2,0.0,0.0,39.793353,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Accelerating,Stable,False,False
20586946478,US_PerformanceMax_TotalCoverage_MaxConvtCPA,6482133486,Feed Only - Interests,43673935045,TEXT,See Why They Rate Us 4.9/5,UNKNOWN,30,2,0.0,0.0,15.22,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Accelerating,Stable,False,False
21485040172,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,6506889828,Feed Only - Interests,43673935045,TEXT,See Why They Rate Us 4.9/5,UNKNOWN,176,3,0.0,0.0,159.102201,0.017045454545454544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Accelerating,Stable,False,False
